Date Part,Data Value,Date (Months),Date (Quarters),Date (Years),Date,Indicator (group),Indicator1,Month,Number of Records,State Name1,Year
1/1/2017,294,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Cocaine,June,1,Virginia,2017
1/1/2015,301,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Heroin,June,1,Virginia,2015
1/1/2016,392,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Heroin,June,1,Virginia,2016
1/1/2017,483,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Heroin,June,1,Virginia,2017
1/1/2015,88,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Methadone,June,1,Virginia,2015
1/1/2016,79,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Methadone,June,1,Virginia,2016
1/1/2017,64,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Methadone,June,1,Virginia,2017
1/1/2015,276,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Virginia,2015
1/1/2016,319,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Virginia,2016
1/1/2017,339,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Virginia,2017
1/1/2015,64455,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Virginia,2015
1/1/2016,64560,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Virginia,2016
1/1/2017,66960,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Virginia,2017
1/1/2015,984,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Virginia,2015
1/1/2016,1186,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Virginia,2016
1/1/2017,1427,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Virginia,2017
1/1/2015,771,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Opioids,June,1,Virginia,2015
1/1/2016,976,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Opioids,June,1,Virginia,2016
1/1/2017,1149,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Opioids,June,1,Virginia,2017
1/1/2015,98.17073171,Jun-15,2015 Q2,2015,6/1/2015,Percent with drugs specified,Percent with drugs specified,June,1,Virginia,2015
1/1/2016,98.65092749,Jun-16,2016 Q2,2016,6/1/2016,Percent with drugs specified,Percent with drugs specified,June,1,Virginia,2016
1/1/2017,98.31814997,Jun-17,2017 Q2,2017,6/1/2017,Percent with drugs specified,Percent with drugs specified,June,1,Virginia,2017
1/1/2015,44,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Psychostimulants,June,1,Virginia,2015
1/1/2016,60,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Psychostimulants,June,1,Virginia,2016
1/1/2017,78,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Psychostimulants,June,1,Virginia,2017
1/1/2015,217,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Virginia,2015
1/1/2016,447,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Virginia,2016
1/1/2017,711,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Virginia,2017
1/1/2015,12,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Cocaine,June,1,Vermont,2015
1/1/2016,15,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Cocaine,June,1,Vermont,2016
1/1/2017,31,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Cocaine,June,1,Vermont,2017
1/1/2015,31,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Heroin,June,1,Vermont,2015
1/1/2016,38,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Heroin,June,1,Vermont,2016
1/1/2017,51,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Heroin,June,1,Vermont,2017
1/1/2015,9,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Methadone,June,1,Vermont,2015
1/1/2016,9,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Methadone,June,1,Vermont,2016
1/1/2017,11,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Methadone,June,1,Vermont,2017
1/1/2015,22,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Vermont,2015
1/1/2016,24,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Vermont,2016
1/1/2017,24,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Vermont,2017
1/1/2015,5819,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Vermont,2015
1/1/2016,5670,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Vermont,2016
1/1/2017,5811,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Vermont,2017
1/1/2015,94,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Vermont,2015
1/1/2016,107,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Vermont,2016
1/1/2017,136,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Vermont,2017
1/1/2015,72,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Opioids,June,1,Vermont,2015
1/1/2016,84,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Opioids,June,1,Vermont,2016
1/1/2017,111,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Opioids,June,1,Vermont,2017
1/1/2015,98.93617021,Jun-15,2015 Q2,2015,6/1/2015,Percent with drugs specified,Percent with drugs specified,June,1,Vermont,2015
1/1/2016,97.19626168,Jun-16,2016 Q2,2016,6/1/2016,Percent with drugs specified,Percent with drugs specified,June,1,Vermont,2016
1/1/2017,99.26470588,Jun-17,2017 Q2,2017,6/1/2017,Percent with drugs specified,Percent with drugs specified,June,1,Vermont,2017
1/1/2015,3,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Psychostimulants,June,1,Vermont,2015
1/1/2016,1,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Psychostimulants,June,1,Vermont,2016
1/1/2017,8,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Psychostimulants,June,1,Vermont,2017
1/1/2015,27,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Vermont,2015
1/1/2016,36,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Vermont,2016
1/1/2017,68,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Vermont,2017
1/1/2015,85,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Cocaine,June,1,Washington,2015
1/1/2016,82,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Cocaine,June,1,Washington,2016
1/1/2017,92,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Cocaine,June,1,Washington,2017
1/1/2015,293,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Heroin,June,1,Washington,2015
1/1/2016,326,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Heroin,June,1,Washington,2016
1/1/2017,296,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Heroin,June,1,Washington,2017
1/1/2015,110,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Methadone,June,1,Washington,2015
1/1/2016,122,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Methadone,June,1,Washington,2016
1/1/2017,112,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Methadone,June,1,Washington,2017
1/1/2015,280,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Washington,2015
1/1/2016,295,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Washington,2016
1/1/2017,244,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Washington,2017
1/1/2015,53657,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Washington,2015
1/1/2016,54715,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Washington,2016
1/1/2017,56104,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Washington,2017
1/1/2015,1050,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Washington,2015
1/1/2016,1162,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Washington,2016
1/1/2017,1051,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Washington,2017
1/1/2015,691,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Opioids,June,1,Washington,2015
1/1/2016,750,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Opioids,June,1,Washington,2016
1/1/2017,665,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Opioids,June,1,Washington,2017
1/1/2015,95.04761905,Jun-15,2015 Q2,2015,6/1/2015,Percent with drugs specified,Percent with drugs specified,June,1,Washington,2015
1/1/2016,93.63166954,Jun-16,2016 Q2,2016,6/1/2016,Percent with drugs specified,Percent with drugs specified,June,1,Washington,2016
1/1/2017,94.57659372,Jun-17,2017 Q2,2017,6/1/2017,Percent with drugs specified,Percent with drugs specified,June,1,Washington,2017
1/1/2015,263,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Psychostimulants,June,1,Washington,2015
1/1/2016,324,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Psychostimulants,June,1,Washington,2016
1/1/2017,357,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Psychostimulants,June,1,Washington,2017
1/1/2015,68,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Washington,2015
1/1/2016,77,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Washington,2016
1/1/2017,100,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Washington,2017
1/1/2015,51287,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Wisconsin,2015
1/1/2016,51012,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Wisconsin,2016
1/1/2017,52180,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Wisconsin,2017
1/1/2015,860,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Wisconsin,2015
1/1/2016,972,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Wisconsin,2016
1/1/2017,1108,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Wisconsin,2017
1/1/2015,69,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Cocaine,June,1,West Virginia,2015
1/1/2016,122,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Cocaine,June,1,West Virginia,2016
1/1/2017,173,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Cocaine,June,1,West Virginia,2017
1/1/2015,182,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Heroin,June,1,West Virginia,2015
1/1/2016,228,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Heroin,June,1,West Virginia,2016
1/1/2017,251,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Heroin,June,1,West Virginia,2017
1/1/2015,37,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Methadone,June,1,West Virginia,2015
1/1/2016,29,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Methadone,June,1,West Virginia,2016
1/1/2017,27,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Methadone,June,1,West Virginia,2017
1/1/2015,390,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,West Virginia,2015
1/1/2016,351,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,West Virginia,2016
1/1/2017,312,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,West Virginia,2017
1/1/2015,22163,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,West Virginia,2015
1/1/2016,21817,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,West Virginia,2016
1/1/2017,22353,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,West Virginia,2017
1/1/2015,681,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,West Virginia,2015
1/1/2016,804,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,West Virginia,2016
1/1/2017,976,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,West Virginia,2017
1/1/2015,614,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Opioids,June,1,West Virginia,2015
1/1/2016,682,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Opioids,June,1,West Virginia,2016
1/1/2015,4487,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Wyoming,2015
1/1/2017,821,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Opioids,June,1,West Virginia,2017
1/1/2015,99.55947137,Jun-15,2015 Q2,2015,6/1/2015,Percent with drugs specified,Percent with drugs specified,June,1,West Virginia,2015
1/1/2016,98.75621891,Jun-16,2016 Q2,2016,6/1/2016,Percent with drugs specified,Percent with drugs specified,June,1,West Virginia,2016
1/1/2017,97.54098361,Jun-17,2017 Q2,2017,6/1/2017,Percent with drugs specified,Percent with drugs specified,June,1,West Virginia,2017
1/1/2015,50,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Psychostimulants,June,1,West Virginia,2015
1/1/2016,71,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Psychostimulants,June,1,West Virginia,2016
1/1/2017,167,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Psychostimulants,June,1,West Virginia,2017
1/1/2015,167,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,West Virginia,2015
1/1/2016,292,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,West Virginia,2016
1/1/2017,588,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,West Virginia,2017
1/1/2016,4430,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Wyoming,2016
1/1/2017,4322,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Wyoming,2017
1/1/2015,104,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Wyoming,2015
1/1/2016,101,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Wyoming,2016
1/1/2017,63,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Wyoming,2017
